Chiave: 1
[62.153705338855914, 67.46244486183257] 
[84.79599893656214, 56.578022418260176] 
[94.33331684490763, 29.755166124787323] 
[65.99571255134917, 75.84568969144463] 
[41.67802748982474, 58.0830889380003] 
[79.24476092172088, 9.767988591469646] 
[71.79972458525612, 83.62792209156066] 
[71.56519373534682, 87.92703301825567] 
[65.55277625904033, 89.966150941967] 
[78.89212024240719, 70.31680121855757] 
[98.77962257442707, 81.40114187196086] 
[85.99917270175422, 7.579663197466379] 
[55.114086137764865, 60.11992720171039] 
[51.584936240257264, 47.22284617331709] 
[67.3753580471165, 34.176889736886274] 
[42.607306107025714, 55.93334975366672] 
[56.780873666375264, 52.42325384603757] 
[43.7190365703031, 77.56517889653364] 
[48.736960621655015, 70.55315559559975] 
[92.14791433900218, 59.376071219872465] 
[54.78012734552724, 12.524464914409517] 
[64.02846829619784, 87.8266897625814] 
[89.4954372109748, 94.1557766330905] 
[97.09496778417194, 43.221674725167624] 
[44.76406396363903, 21.64556082471545] 
[49.79094323507256, 69.86048377653076] 
[69.16541356909525, 60.13988032295862] 
[35.505995669411185, 24.241264690666352] 
[63.135961529207286, 27.243869603854865] 
[88.96601284096562, 63.26277213511589] 
[72.31503604601693, 38.91787364512659] 
[47.8323689816349, 84.84744403008135] 
[64.17936025359234, 69.73146080948158] 
[58.705750883347676, 25.661420541990154] 
[41.985398925686866, 16.96576260541137] 
[50.447951314842776, 78.59140464963849] 
[76.74772557949176, 68.32389408187076] 
[64.29163072488619, 66.48626209052513] 
[83.54255559662798, 48.15865501857458] 
[36.86712789064821, 68.04578423967304] 
[47.57071930889653, 49.79284183611175] 
[47.024010211321055, 77.28166032189128] 
[94.38409314877595, 53.54858666429326] 
[36.89882723373445, 7.398392650048125] 
[92.16241987347249, 91.58141389570885] 
[41.33675092731417, 38.05205263854911] 
[86.32995182726286, 43.769887130355634] 
[54.75477134556863, 68.06876052352524] 
Chiave: 2
[31.972804281007804, 81.01146884433754] 
[17.296612714022817, 29.4213853550236] 
[32.65897299582843, 74.13620631553461] 
[5.8259728240271365, 43.91172393636017] 
[12.871889446981722, 89.78260941732694] 
[19.107246335577877, 17.348022620988722] 
[16.177086343339298, 10.41767546452439] 
[1.1556486772850483, 93.67465449543062] 
[21.751876129458523, 29.39890344028798] 
[6.751919129930628, 66.68044990680684] 
[0.8858897942877308, 98.7696270106438] 
[21.34340430930388, 5.773970780588877] 
[15.549908519997713, 4.029677443868107] 
[7.146724566736928, 23.09295514658869] 
[12.031590037169382, 44.57015025461091] 
[26.090729339336704, 25.971407280897385] 
[0.9164718885223189, 77.9617302705755] 
[10.516802081771193, 3.862186859287442] 
[8.652569638139529, 29.503560626112023] 
[8.828143024747416, 10.597594818387524] 
[29.270064653065965, 67.85535701077103] 
[12.409187256277043, 63.675126379234804] 
[26.56971289259945, 45.52874909977572] 
[2.457047303354576, 42.66980898652544] 
[30.624605275138194, 76.62591174013932] 
[21.339452611225983, 37.57113939830167] 
[13.718778809686139, 16.298137480201135] 
[18.285721085583052, 19.427705217224343] 
[29.46547124687997, 54.94721084815437] 
[7.0777541050444315, 92.15901302685377] 
[19.22401985070168, 54.98988982672777] 
[10.24427647880235, 75.41642919686387] 
[8.758197496551878, 96.08639510848022] 
[21.660693832149935, 45.516868827603396] 
[29.76689748058431, 69.56459859129467] 
[15.727309223779084, 77.68170275968794] 
[28.165142637885566, 61.47800959151558] 
[14.86091165170561, 71.57419831286424] 
[24.913535716804624, 47.79174587255645] 
[29.088480313095722, 24.75729564730249] 
[8.524655281415594, 74.3239773144338] 
[1.5075521959942662, 45.656895037816184] 
[17.343703921785192, 4.212079152795766] 
[8.933706100221627, 93.17017108145986] 
[15.369722739122205, 34.500631128390914] 
Chiave: 3
[54.07388484551444, 94.29467123957714] 
[46.26353681962819, 94.31149424865909] 
[45.97514381968016, 95.40109336683524] 
[27.887819164545856, 97.51618273341866] 
[46.18496228488237, 93.58315975711666] 
[69.75855893508495, 99.62268881008153] 
[35.2673168975143, 91.77318230622697] 
